interaction_id,user_id,product_id,interaction,timestamp,session_id,device,rating_given
I0000054,U00555,P006721,wishlist,2026-04-04T05:03:20.800219,1b324ffd,desktop,
I0000055,U00538,P007788,wishlist,2025-08-03T07:46:20.800219,9549ac9a,desktop,
I0000056,U04223,P005568,add_to_cart,2025-10-02T20:03:20.800219,87f8e4fd,tablet,
I0000057,U02753,P001420,view,2025-10-14T13:18:20.800219,5d5406d1,tablet,
I0000058,U04315,P004017,click,2026-03-03T09:31:20.800219,ce66d8e9,mobile,
I0000059,U04677,P009783,wishlist,2026-03-09T13:55:20.800219,780b45a3,mobile,
I0000060,U02202,P001360,view,2025-11-06T05:20:20.800219,9d8ca830,tablet,
I0000061,U02226,P003679,view,2025-05-15T02:44:20.800219,fdf76d5f,desktop,
I0000062,U03357,P006373,wishlist,2026-03-09T02:02:20.800219,e4647137,tablet,
I0000063,U01906,P010120,add_to_cart,2025-10-19T14:26:20.800219,fa501a0b,desktop,
I0000064,U01684,P008801,click,2026-04-19T13:03:20.800219,3f5c1b26,desktop,
I0000065,U03413,P002120,click,2026-03-27T14:49:20.800219,f2975bf5,desktop,
I0000066,U04580,P005749,add_to_cart,2026-02-27T03:07:20.800219,b69cc65f,desktop,
I0000067,U03988,P002231,view,2025-05-19T08:51:20.800219,5f1ba603,tablet,
I0000068,U04283,P003738,purchase,2025-07-19T22:43:20.800219,b3903a45,desktop,1.1
I0000069,U03582,P004606,add_to_cart,2025-08-24T05:29:20.800219,e6b3a70a,tablet,
I0000070,U00374,P007819,view,2025-11-07T15:18:20.800219,e6fb20b2,tablet,
I0000071,U03413,P005917,wishlist,2025-10-19T06:32:20.800219,24edae21,mobile,
I0000072,U04045,P004929,purchase,2025-11-21T08:39:20.800219,3fd9d52c,tablet,4.3
I0000073,U04132,P002180,view,2025-07-12T02:53:20.800219,1ebe6855,tablet,
I0000074,U00591,P009353,wishlist,2025-06-14T02:43:20.800219,8926dba1,desktop,
I0000075,U01951,P010425,add_to_cart,2025-07-14T02:29:20.800219,05c4d734,tablet,
I0000076,U04750,P009851,add_to_cart,2025-12-21T02:04:20.800219,bbdc672c,mobile,
I0000077,U02342,P008867,click,2025-11-09T21:23:20.800219,a5f36b1d,desktop,
I0000078,U02625,P003925,purchase,2026-01-26T17:54:20.800219,25fc0d96,tablet,1.1
I0000079,U01769,P004475,click,2026-04-24T21:31:20.800219,b45ba1d9,desktop,
I0000080,U04368,P004625,click,2026-04-19T04:12:20.800219,3f4cd519,desktop,
I0000081,U04577,P004870,view,2025-09-26T12:11:20.800219,9afdd0c8,mobile,
I0000082,U02226,P009256,click,2025-10-15T00:43:20.800219,521fe24e,tablet,
I0000083,U02004,P006091,view,2025-10-24T22:22:20.800219,756f5646,desktop,
I0000084,U04471,P000040,view,2026-03-11T15:11:20.800219,64f7b162,desktop,
I0000085,U02192,P007294,view,2025-10-28T07:44:20.800219,8caf19b4,tablet,
I0000086,U03014,P009544,view,2025-08-22T23:41:20.800219,9daf0989,mobile,
I0000087,U00961,P002089,view,2026-02-06T22:18:20.800219,0daea614,desktop,
I0000088,U04697,P000151,add_to_cart,2025-10-19T10:09:20.800219,900c13d5,tablet,
I0000089,U04710,P009193,click,2026-03-24T04:20:20.800219,ae1400b4,tablet,
I0000090,U02070,P001907,view,2026-01-13T22:42:20.800219,98001d9d,mobile,
I0000091,U00305,P004933,purchase,2025-05-12T11:31:20.800219,06cf2bca,tablet,3.2
I0000092,U03967,P002521,add_to_cart,2025-12-06T09:42:20.800219,517071cd,tablet,
I0000093,U03391,P004563,view,2026-03-22T19:46:20.800219,4630bbf3,mobile,
I0000094,U03903,P004718,view,2025-09-28T01:44:20.800219,afebfad4,desktop,
I0000095,U02931,P008350,view,2025-05-24T22:58:20.800219,0fcce108,mobile,
I0000096,U03973,P007544,view,2025-11-01T19:01:20.800219,1e90c479,desktop,
I0000097,U01635,P010041,view,2026-04-07T19:39:20.800219,6bf6f926,mobile,
I0000098,U03922,P009267,add_to_cart,2025-06-19T02:01:20.800219,0d5382c1,mobile,
I0000099,U03213,P010186,click,2026-02-02T00:43:20.800219,08ca3903,mobile,
I0000100,U03798,P007565,view,2026-01-23T06:18:20.800219,2e767b65,mobile,
I0000101,U01195,P001866,click,2025-11-25T01:19:20.800219,84a45444,mobile,
I0000102,U03227,P001675,purchase,2025-12-05T16:58:20.800219,73c97570,mobile,3.8
I0000103,U02764,P001008,click,2025-07-19T00:25:20.800219,17c429c5,tablet,
I0000104,U02325,P006475,click,2025-07-30T08:13:20.800219,003dbeee,desktop,
I0000105,U01968,P006845,view,2025-08-27T08:19:20.800219,8f54021c,mobile,
I0000106,U01201,P005749,view,2025-09-12T21:03:20.800219,3bb553e8,mobile,
I0000107,U01345,P009888,add_to_cart,2026-02-07T04:32:20.800219,48532477,desktop,
I0000108,U03040,P010236,view,2026-03-17T14:27:20.800219,d7794a07,desktop,
I0000109,U01357,P002914,view,2025-06-16T09:32:20.800219,d86abd8b,tablet,
I0000110,U01154,P000121,view,2026-05-05T06:54:20.800219,a909088e,mobile,
I0000111,U00491,P007025,view,2026-01-17T20:56:20.800219,c431dae2,mobile,
I0000112,U05051,P005274,wishlist,2026-03-19T03:35:20.800219,8bca3629,tablet,
I0000113,U02391,P007183,view,2026-03-05T06:20:20.800219,b43d32a7,tablet,
I0000114,U00008,P003829,click,2026-03-16T12:58:20.800219,e774e4f7,mobile,
I0000115,U00103,P001801,click,2026-04-12T21:54:20.800219,c6246f89,tablet,
I0000116,U05000,P003739,wishlist,2025-06-03T16:23:20.800219,038ac81d,tablet,
I0000117,U04621,P007896,click,2026-01-14T11:59:20.800219,543fb228,tablet,
I0000118,U05030,P003739,view,2025-05-29T17:44:20.800219,348d5f30,desktop,
I0000119,U02268,P008099,click,2026-03-14T23:30:20.800219,131234a0,mobile,
I0000120,U04663,P002275,view,2025-09-08T02:01:20.800219,80429a63,mobile,
I0000121,U02000,P001673,add_to_cart,2025-12-17T22:53:20.800219,50f0c151,mobile,
I0000122,U02396,P002329,click,2026-04-17T03:29:20.800219,a4b3be61,tablet,
I0000123,U00858,P004672,click,2025-07-10T07:45:20.800219,de739955,tablet,
I0000124,U00726,P009205,wishlist,2025-08-26T15:52:20.800219,6960fc66,tablet,
I0000125,U00874,P004668,view,2025-10-28T07:33:20.800219,eacfdc63,mobile,
I0000126,U04429,P004426,click,2025-11-18T19:46:20.800219,e62e98ba,tablet,
I0000127,U04787,P005771,add_to_cart,2025-12-02T16:32:20.800219,550a6b76,mobile,
I0000128,U02348,P001559,click,2025-08-06T14:37:20.800219,c2d0c466,tablet,
I0000129,U03004,P001854,add_to_cart,2025-06-25T06:23:20.800219,6604e6d5,mobile,
I0000130,U01536,P003473,add_to_cart,2025-11-23T12:20:20.800219,39cbe6ad,tablet,
I0000131,U04772,P000481,click,2026-01-07T23:54:20.800219,d357ff9c,desktop,
I0000132,U03742,P007298,view,2025-12-15T11:08:20.800219,bd6addb3,tablet,
I0000133,U01798,P008322,click,2025-08-18T07:37:20.800219,7e04de77,tablet,
I0000134,U02793,P006066,view,2025-08-16T01:45:20.800219,1b72df31,desktop,
I0000135,U03182,P004991,click,2026-02-14T20:07:20.800219,d90305b2,desktop,
I0000136,U04608,P004905,add_to_cart,2025-10-01T08:50:20.800219,8b1a45ec,desktop,
I0000137,U01948,P004501,view,2025-06-11T04:17:20.800219,f6687e87,desktop,
I0000138,U01050,P002174,view,2025-10-27T21:45:20.800219,a338beb5,tablet,
I0000139,U03933,P003069,add_to_cart,2026-04-24T04:27:20.800219,9c0a5bf3,tablet,
I0000140,U01551,P008303,view,2026-04-17T11:29:20.800219,28a86563,mobile,
I0000141,U00408,P010080,click,2025-07-23T15:23:20.800219,724ab348,tablet,
I0000142,U00525,P009646,add_to_cart,2025-07-17T20:33:20.800219,1abab868,mobile,
I0000143,U03876,P007510,view,2026-03-25T03:44:20.800219,6429d1f3,tablet,
I0000144,U02412,P002233,view,2026-01-20T07:53:20.800219,b506dff7,tablet,
I0000145,U00576,P007430,view,2025-05-18T11:06:20.800219,f552ab09,tablet,
I0000146,U03463,P008224,view,2025-11-08T06:13:20.800219,e03f4c99,mobile,
I0000147,U01318,P008567,view,2025-08-21T14:21:20.800219,3bafacf6,desktop,
I0000148,U03604,P001760,view,2025-11-03T02:38:20.800219,28b2c0f4,desktop,
I0000149,U01111,P004223,view,2025-07-04T16:08:20.800219,c062dd6c,mobile,
I0000150,U02360,P007971,view,2025-09-24T09:58:20.800219,2c507bd5,desktop,
I0000151,U04802,P003596,wishlist,2025-05-22T16:02:20.800219,9b3e7f9e,tablet,
I0000152,U00381,P000680,purchase,2025-09-28T02:02:20.800219,75aad030,tablet,3.5
I0000153,U01165,P010367,view,2025-08-25T00:21:20.800219,5a691382,desktop,
I0000154,U04932,P002965,view,2026-05-03T00:48:20.800219,1f16224a,mobile,
I0000155,U00423,P008101,click,2025-05-14T03:31:20.800219,4bac4bbc,tablet,
I0000156,U03598,P006672,add_to_cart,2026-01-25T08:13:20.800219,36cba031,desktop,
I0000157,U03300,P001190,wishlist,2025-06-20T16:02:20.800219,f1622312,tablet,
I0000158,U04839,P007306,click,2025-12-26T19:07:20.800219,4e953205,desktop,
I0000159,U00606,P009342,add_to_cart,2025-12-07T22:47:20.800219,aeda28d0,tablet,
I0000160,U00577,P002056,click,2025-10-17T14:03:20.800219,57c289e4,desktop,
I0000161,U01935,P005125,view,2025-06-05T11:36:20.800219,fb90ea27,desktop,
I0000162,U03141,P010037,view,2026-02-20T17:46:20.800219,4e709374,desktop,
I0000163,U00258,P007220,click,2026-04-16T18:00:20.800219,130cee92,mobile,
I0000164,U02073,P000262,wishlist,2026-02-15T14:49:20.800219,b297117d,tablet,
I0000165,U01257,P008944,click,2025-06-05T17:36:20.800219,377b7652,desktop,
I0000166,U05183,P002329,view,2026-02-03T05:05:20.800219,62c24eb2,desktop,
I0000167,U00288,P003732,view,2025-08-22T02:02:20.800219,b5f4d67f,desktop,
I0000168,U01603,P005252,purchase,2025-12-01T04:05:20.800219,3d73acd2,tablet,1.3
I0000169,U03380,P005945,wishlist,2025-12-04T03:04:20.800219,bb4cafb2,desktop,
I0000170,U01201,P006743,click,2025-10-27T20:05:20.800219,038bf70b,desktop,
I0000171,U03649,P008979,click,2025-12-25T07:09:20.800219,5556f394,mobile,
I0000172,U03227,P009126,view,2026-01-25T04:26:20.800219,7178f8d2,desktop,
I0000173,U00150,P001308,wishlist,2025-10-27T09:29:20.800219,e360b16f,desktop,
I0000174,U04533,P006066,wishlist,2026-05-03T11:41:20.800219,b6d4f543,tablet,
I0000175,U04576,P009862,view,2025-06-11T00:53:20.800219,c0916bd4,tablet,
I0000176,U00382,P005193,view,2025-10-07T06:27:20.800219,fa7a225b,desktop,
I0000177,U01017,P006472,add_to_cart,2025-07-06T16:18:20.800219,e97fb9b8,mobile,
I0000178,U03984,P002863,click,2026-01-01T21:05:20.800219,7540c5ae,mobile,
I0000179,U02488,P007339,view,2025-10-31T11:34:20.800219,2f139b67,tablet,
I0000180,U03941,P008517,click,2026-04-02T14:58:20.800219,0f767572,desktop,
I0000181,U05115,P009994,view,2025-06-12T18:59:20.800219,1ec4bed4,tablet,
I0000182,U03233,P001104,click,2025-05-15T16:46:20.800219,7cb4bb49,mobile,
I0000183,U03173,P000885,purchase,2025-08-10T07:50:20.800219,5104a4b8,mobile,1.1
I0000184,U01812,P000402,add_to_cart,2026-05-10T08:00:20.800219,5ead0891,tablet,
I0000185,U00603,P005436,view,2025-09-18T18:26:20.800219,0f60bff2,desktop,
I0000186,U01460,P000675,click,2025-06-10T19:39:20.800219,106b79cb,mobile,
I0000187,U03542,P006046,view,2025-11-15T18:21:20.800219,370a9c11,mobile,
I0000188,U02758,P009556,view,2026-01-03T02:23:20.800219,b46e44b6,desktop,
I0000189,U00092,P004657,click,2025-12-26T17:21:20.800219,8ce2a3cc,mobile,
I0000190,U04020,P001036,purchase,2025-07-31T07:14:20.800219,015fc530,mobile,3.7
I0000191,U04090,P003849,view,2025-07-28T01:54:20.800219,4be6cdc3,tablet,
I0000192,U04533,P003982,click,2025-06-22T10:52:20.800219,ad121e72,tablet,
I0000193,U02806,P005318,add_to_cart,2025-12-21T11:59:20.800219,82348fd9,tablet,
I0000194,U00114,P000535,view,2025-11-18T17:18:20.800219,0e150e42,tablet,
I0000195,U00779,P008564,view,2025-08-21T20:17:20.800219,63b085b2,mobile,
I0000196,U03817,P008988,view,2025-08-21T01:50:20.800219,c43eafd5,tablet,
I0000197,U01581,P008755,view,2026-05-08T22:11:20.800219,e9c1b486,tablet,
I0000198,U03001,P006348,view,2025-07-13T20:38:20.800219,a0c43d35,tablet,
I0000199,U03790,P000676,view,2026-04-06T16:46:20.800219,d9d5d1c5,tablet,
I0000200,U04960,P001302,view,2025-12-05T13:30:20.800219,217e8e02,tablet,
I0000201,U01846,P005326,click,2026-01-26T07:02:20.800219,664b55f6,desktop,
I0000202,U04066,P008258,add_to_cart,2025-06-15T15:46:20.800219,c3ea908f,desktop,
I0000203,U02112,P006296,click,2025-12-31T14:02:20.800219,2aebd49c,mobile,
I0000204,U01847,P004916,click,2025-12-20T08:19:20.800219,f73591e5,desktop,
I0000205,U03678,P008844,view,2025-12-10T06:13:20.800219,faae73f6,mobile,
I0000206,U03976,P000063,add_to_cart,2025-08-31T22:07:20.800219,4ef00035,desktop,
I0000207,U01784,P002071,wishlist,2025-07-17T17:32:20.800219,34c59175,mobile,
I0000208,U03668,P009034,view,2026-01-15T00:01:20.800219,d8955a95,desktop,
I0000209,U03015,P001089,click,2026-02-09T01:40:20.800219,31346844,mobile,
I0000210,U01373,P006301,view,2025-12-10T21:52:20.800219,5bf7c692,desktop,
I0000211,U03493,P007446,click,2025-06-24T08:24:20.800219,78c781ec,mobile,
I0000212,U00366,P003336,view,2025-11-26T03:25:20.800219,ef369afe,desktop,
I0000213,U03871,P007808,view,2025-10-11T10:23:20.800219,1b99de35,desktop,
I0000214,U02882,P008755,click,2025-05-21T18:11:20.800219,8323d682,mobile,
I0000215,U01867,P005966,wishlist,2025-11-02T08:36:20.800219,da7bd65e,desktop,
I0000216,U04485,P009079,view,2025-05-26T13:34:20.800219,21a03cdf,desktop,
I0000217,U02106,P002123,add_to_cart,2026-02-02T11:39:20.800219,ab8c539c,mobile,
I0000218,U00581,P004492,view,2025-05-26T20:58:20.800219,b37facfd,desktop,
I0000219,U04571,P009495,view,2025-05-19T15:28:20.800219,867cdb19,tablet,
I0000220,U03120,P000265,view,2026-02-19T05:51:20.800219,e9d14e00,tablet,
I0000221,U04807,P006436,add_to_cart,2026-01-15T04:48:20.800219,d6f904f3,desktop,
I0000222,U03615,P003178,view,2025-10-05T14:27:20.800219,01726580,mobile,
I0000223,U02655,P003475,add_to_cart,2025-12-10T21:02:20.800219,7fb8ee3f,mobile,
I0000224,U04998,P000559,wishlist,2026-04-14T17:43:20.800219,f1b4af8d,tablet,
I0000225,U02859,P002252,purchase,2025-08-01T19:45:20.800219,4fffed1b,tablet,4.2
I0000226,U02806,P001741,add_to_cart,2025-06-10T05:38:20.800219,f6516465,desktop,
I0000227,U02093,P002261,view,2025-10-28T10:35:20.800219,c9b70b77,mobile,
I0000228,U03770,P009191,wishlist,2025-09-28T22:22:20.800219,56ec0bf2,desktop,
I0000229,U02963,P004159,add_to_cart,2026-01-08T22:32:20.800219,94c3f225,tablet,
I0000230,U04908,P005765,wishlist,2025-08-11T08:05:20.800219,3f44c639,tablet,
I0000231,U01365,P003214,click,2025-05-10T21:01:20.800219,3e59b53b,mobile,
I0000232,U00170,P005023,view,2025-06-05T14:08:20.800219,682c4010,mobile,
I0000233,U02687,P009353,view,2026-04-06T22:01:20.800219,8c4126ff,desktop,
I0000234,U04180,P001511,click,2025-07-25T16:34:20.800219,efbbf755,tablet,
I0000235,U05189,P006806,view,2026-01-12T00:33:20.800219,44cd1ca3,desktop,
I0000236,U01010,P004029,purchase,2025-05-10T04:34:20.800219,a9f0f302,tablet,4.1
I0000237,U01215,P002515,add_to_cart,2026-02-20T00:12:20.800219,893a170a,desktop,
I0000238,U03795,P007698,click,2025-11-16T20:40:20.800219,5a21d1fa,desktop,
I0000239,U03471,P009858,add_to_cart,2026-03-13T01:49:20.800219,96cbffc8,desktop,
I0000240,U00120,P004741,click,2025-08-10T19:24:20.800219,407d9b93,tablet,
I0000241,U03099,P007172,click,2025-10-29T03:28:20.800219,3669d076,desktop,
I0000242,U03702,P009218,view,2025-08-19T01:05:20.800219,8602623e,desktop,
I0000243,U01347,P003057,view,2026-02-16T03:23:20.800219,4e43a1a5,mobile,
I0000244,U01783,P000396,view,2025-11-27T11:37:20.800219,a0d468ad,mobile,
I0000245,U02098,P009140,add_to_cart,2026-04-22T20:15:20.800219,b1a8a092,desktop,
I0000246,U03893,P006834,click,2025-05-10T06:09:20.800219,9b8319a1,mobile,
I0000247,U02534,P008913,click,2026-03-03T10:00:20.800219,0743ef5a,tablet,
I0000248,U02834,P009143,view,2025-06-21T05:56:20.800219,56f24814,tablet,
I0000249,U00163,P009763,add_to_cart,2025-09-25T17:11:20.800219,9190bd91,tablet,
I0000250,U05184,P002626,click,2025-05-26T07:27:20.800219,6aa4ca6a,tablet,
I0000251,U04728,P005527,view,2025-09-10T06:19:20.800219,603a5670,desktop,
I0000252,U01341,P006113,view,2025-09-25T21:02:20.800219,e9cba4f9,mobile,
I0000253,U00846,P000514,purchase,2025-09-12T20:08:20.800219,b8c35738,tablet,4.6
I0000254,U05196,P006641,wishlist,2025-11-06T22:21:20.800219,57d4faa0,tablet,
I0000255,U04484,P006995,view,2025-09-14T04:53:20.800219,a67c734c,desktop,
I0000256,U00153,P005313,add_to_cart,2025-12-07T08:10:20.800219,77532037,desktop,
I0000257,U03047,P010094,view,2025-06-04T23:40:20.800219,65d8fcd0,mobile,
I0000258,U02306,P009193,wishlist,2025-12-04T14:41:20.800219,b560e158,tablet,
I0000259,U02082,P006938,purchase,2026-01-30T20:18:20.800219,fc5efada,mobile,3.8
I0000260,U02581,P004093,purchase,2025-07-18T05:23:20.800219,580183c0,desktop,3.9
I0000261,U00303,P007272,view,2026-04-29T16:52:20.800219,f8005db0,mobile,
I0000262,U03539,P009527,click,2025-05-11T21:20:20.800219,e6767a19,mobile,
I0000263,U00768,P004762,click,2025-10-22T10:25:20.800219,fa347b5d,tablet,
I0000264,U01251,P001511,click,2026-03-04T14:39:20.800219,23f1f826,mobile,
I0000265,U01879,P008710,view,2026-01-17T02:21:20.800219,87549cbb,desktop,
I0000266,U00425,P002792,view,2026-04-21T18:18:20.800219,f77d0eb1,mobile,
I0000267,U00762,P004304,add_to_cart,2025-11-03T19:53:20.800219,af342d07,desktop,
I0000268,U01188,P008351,purchase,2025-11-13T21:05:20.800219,17983595,mobile,4.9
I0000269,U03454,P006295,view,2026-01-16T23:28:20.800219,310e8d7e,mobile,
I0000270,U04551,P009737,add_to_cart,2025-10-01T03:04:20.800219,1f418ec9,tablet,
I0000271,U00216,P005944,add_to_cart,2025-10-20T08:53:20.800219,99b571bb,tablet,
I0000272,U01371,P009743,add_to_cart,2025-10-15T19:29:20.800219,dbfef066,desktop,
I0000273,U03571,P003780,add_to_cart,2026-04-01T01:00:20.800219,1a261d2c,mobile,
I0000274,U02489,P000413,view,2025-09-16T03:34:20.800219,b3d4c7f6,desktop,
I0000275,U04813,P004192,view,2025-07-07T16:55:20.800219,b6224fa2,desktop,
I0000276,U04384,P000246,view,2026-01-26T05:58:20.800219,a93ced71,mobile,
I0000277,U03072,P006777,add_to_cart,2025-06-06T04:52:20.800219,80ffba7f,desktop,
I0000278,U03354,P010382,view,2025-11-20T12:56:20.800219,4a7e500d,tablet,
I0000279,U01233,P006206,purchase,2025-11-23T19:50:20.800219,b4b535fa,desktop,4.2
I0000280,U01064,P001687,add_to_cart,2025-07-18T19:14:20.800219,abdea1e3,tablet,
I0000281,U03120,P007874,view,2026-04-04T23:50:20.800219,dbdf573f,mobile,
I0000282,U01915,P009056,add_to_cart,2026-04-13T15:46:20.800219,1ae6d5c9,mobile,
I0000283,U00953,P000353,view,2025-07-19T05:46:20.800219,c9ddfe70,mobile,
I0000284,U01489,P000490,view,2025-08-06T18:08:20.800219,a68d3c8c,mobile,
I0000285,U04410,P005279,click,2025-12-29T16:30:20.800219,93445627,tablet,
I0000286,U05144,P002739,wishlist,2025-08-29T07:51:20.800219,4e8f4bbe,mobile,
I0000287,U02885,P003780,view,2025-12-08T16:02:20.800219,d805639e,tablet,
I0000288,U04083,P003060,click,2025-11-08T11:40:20.800219,14134cca,mobile,
I0000289,U01614,P004219,view,2025-06-29T12:10:20.800219,0d10c000,mobile,
I0000290,U00076,P001334,add_to_cart,2026-04-02T07:09:20.800219,a185b9a0,tablet,
I0000291,U00124,P010453,view,2026-05-06T18:51:20.800219,836fe05d,mobile,
I0000292,U02754,P003920,click,2025-11-03T11:54:20.800219,54fabe7d,desktop,
I0000293,U00281,P007467,view,2025-10-17T19:50:20.800219,a8c360ef,mobile,
I0000294,U03911,P009500,click,2025-09-05T19:33:20.800219,02363504,desktop,
I0000295,U03600,P004664,click,2025-05-28T19:03:20.800219,5e15fb23,desktop,
I0000296,U03935,P010027,add_to_cart,2025-07-16T13:17:20.800219,816ef4d1,tablet,
I0000297,U01419,P000412,view,2026-01-06T20:49:20.800219,9181f0f9,mobile,
I0000298,U02517,P004870,view,2026-02-27T21:46:20.800219,6270bf0c,tablet,
I0000299,U05006,P007242,add_to_cart,2026-02-03T05:47:20.800219,1d114fea,desktop,
I0000300,U04975,P007604,purchase,2025-10-21T19:11:20.800219,12900305,mobile,3.7
I0000301,U03625,P002790,wishlist,2025-07-12T14:36:20.800219,4d4c98ea,tablet,
I0000302,U00693,P008002,view,2026-03-26T06:02:20.800219,31a041bf,mobile,
I0000303,U02755,P007630,view,2026-02-20T10:20:20.800219,78e538df,mobile,
I0000304,U00927,P008252,click,2026-01-17T03:23:20.800219,2cec5c3b,tablet,
I0000305,U00377,P002973,add_to_cart,2025-08-11T07:40:20.800219,408a0b31,desktop,
I0000306,U02148,P006642,view,2025-12-04T10:17:20.800219,4d3fc529,mobile,
I0000307,U00306,P000314,click,2026-04-29T03:20:20.800219,8481b76a,mobile,
I0000308,U04079,P005889,wishlist,2026-02-18T23:28:20.800219,ca078f76,mobile,
I0000309,U05179,P009774,click,2026-03-23T11:20:20.800219,30acd56d,desktop,
I0000310,U01880,P007862,click,2025-09-28T12:30:20.800219,e2c310e7,desktop,
I0000311,U02780,P007759,view,2025-06-15T03:16:20.800219,82aad6aa,mobile,
I0000312,U01710,P003806,click,2025-12-26T21:11:20.800219,22b92100,mobile,
I0000313,U01749,P000198,add_to_cart,2025-08-05T13:11:20.800219,5004f958,mobile,
I0000314,U02093,P008766,view,2025-12-21T07:16:20.800219,5e72bcb0,tablet,
I0000315,U03836,P004640,wishlist,2026-01-04T19:46:20.800219,c3dfc11d,mobile,
I0000316,U03813,P008094,view,2025-10-20T13:47:20.800219,792ed8b8,tablet,
